tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				157.90		g	13.7	1.04E-05	0		u	273			0	0	0	273
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				157.50		g	12.9	7.37E-06	1		u	273			0	0	0	4.73E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				137.60		g	23.7	4.41E-06	2		u	273			5.03E-05	0	90	4.73E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				158.80		g	12.6	7.13E-06	3		u	273			5.03E-05	0	90	4.73E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				158.70		g	13.1	6.59E-06	4		u	273			0	0	0	5.03E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				123.30		g	28.2	3.35E-06	5		u	273			5.03E-05	0	90	5.03E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				160.20		g	11.9	5.94E-06	6		u	273			0	0	0	5.33E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				130.70		g	23.8	3.43E-06	7		u	273			5.03E-05	0	90	4.73E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				101.20		g	36.6	2.49E-06	8		u	273			5.03E-05	0	90	5.33E+02
Donadini	10.1016/j.pepi.2014.12.007	Finland	BR06	BR06	BR06-3F	BR06-3F:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				158.30		g	12.5	5.19E-06	9		u	273			0	0	0	5.63E+02
