tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_dtr	specimen_int_mad_anc	specimen_int_n	specimen_dck	specimen_int_alpha	specimen_b_beta	specimen_dpal	specimen_f	specimen_q	specimen_dt
Hawaii 1960 Flow	C-4-1	37.82	0	540	30	1.00	-	-	nan	0.47	10.00	2.91	0.79	0.03	4.55	0.79	25.92	-999.00
Hawaii 1960 Flow	A-3-3	39.56	0	520	30	1.00	-	-	nan	0.37	9.00	1.98	1.12	0.05	3.63	0.59	9.30	-999.00
Hawaii 1960 Flow	B-8-1	43.39	330	540	30	1.00	-	-	nan	0.28	8.00	2.78	0.44	0.08	4.83	0.74	7.26	-999.00
Hawaii 1960 Flow	A-5-3	34.63	0	540	30	1.00	-	-	nan	0.41	10.00	4.97	0.85	0.05	4.81	0.80	14.95	-999.00
Hawaii 1960 Flow	B-5-1	50.14	330	520	30	1.00	-	-	nan	0.74	7.00	2.38	1.68	0.05	3.45	0.58	9.33	-999.00
Hawaii 1960 Flow	B-2-1	48.73	0	500	30	1.00	-	-	nan	0.67	8.00	0.67	2.03	0.02	1.44	0.54	20.96	-999.00
Hawaii 1960 Flow	B-6-3	44.31	470	600	30	1.00	-	-	nan	0.20	5.00	4.30	0.18	0.04	0.89	0.61	10.35	-999.00
Hawaii 1960 Flow	B-10-1	45.31	230	535	30	1.00	-	-	nan	0.21	8.00	4.84	0.28	0.07	4.55	0.74	8.53	-999.00
Hawaii 1960 Flow	C-2-3	43.33	350	535	30	1.00	-	-	nan	0.60	6.00	2.34	0.73	0.02	0.68	0.75	20.89	-999.00
Hawaii 1960 Flow	A-2-3	42.93	0	500	30	1.00	-	-	nan	0.39	10.00	4.20	1.42	0.04	4.39	0.51	11.03	-999.00
Hawaii 1960 Flow	C-1-3	40.34	0	520	30	1.00	-	-	nan	0.48	9.00	1.92	1.04	0.04	2.70	0.56	12.23	-999.00
Hawaii 1960 Flow	B-9-3	48.11	0	500	30	1.00	-	-	nan	0.59	8.00	1.67	1.64	0.02	3.89	0.53	18.26	-999.00
Hawaii 1960 Flow	C-4-4L	38.84	0	520	30	1.00	-	-	nan	0.76	9.00	2.66	2.25	0.04	0.83	0.58	12.11	-999.00
SW	SW01-02A-2	51.10	125	350	45	1.00	-	-	0.83	0.87	8.00	2.47	1.67	0.03	4.78	0.64	19.45	-999.00
SW	SW01-09A-2	52.20	0	270	45	1.00	-	-	0.87	0.54	5.00	0.27	1.31	0.03	3.61	0.50	11.84	-999.00
SW	SW01-13A-2	49.88	135	270	45	1.00	-	-	2.69	1.75	5.00	3.25	3.78	0.02	0.47	0.53	20.15	-999.00
SW	SW01-07A-2	53.03	0	340	45	1.00	-	-	1.46	1.22	7.00	3.02	3.09	0.04	3.95	0.58	11.93	-999.00
SW	SW01-04A-2	48.18	0	350	45	1.00	-	-	0.42	1.51	6.00	3.67	1.03	0.09	2.41	0.57	5.01	-999.00
SW	SW01-01A-2	50.49	0	335	45	1.00	-	-	0.81	2.11	9.00	0.36	4.14	0.02	2.33	0.72	26.87	-999.00
SW	SW01-03A-2	50.20	0	240	45	1.00	-	-	1.27	0.90	5.00	0.32	0.62	0.04	4.18	0.69	10.93	-999.00
SW	SW01-18A-2	50.55	210	500	45	1.00	-	-	1.41	1.29	8.00	1.65	2.04	0.02	1.69	0.62	30.56	-999.00
SW	SW01-05A-2	49.57	100	350	45	1.00	-	-	0.92	0.63	8.00	0.57	0.77	0.01	1.54	0.53	41.00	-999.00
SW	SW01-15A-2	49.08	0	300	45	1.00	-	-	0.49	0.75	5.00	1.21	0.83	0.05	0.74	0.58	8.45	-999.00
SW	SW01-17A-2	49.36	125	350	45	1.00	-	-	1.66	0.52	7.00	1.61	1.30	0.04	1.89	0.53	12.33	-999.00
SW	SW01-10A-2	51.98	0	300	45	1.00	-	-	0.94	0.51	8.00	0.95	0.63	0.01	2.86	0.61	39.72	-999.00
SW	SW01-19A-2	51.58	0	560	45	1.00	-	-	2.44	0.66	15.00	4.01	0.44	0.01	4.83	0.99	94.18	-999.00
SW	SW01-06A-2	50.40	0	300	45	1.00	-	-	0.95	0.91	5.00	0.89	2.46	0.04	1.57	0.55	9.23	-999.00
SW	SW01-08A-2	50.53	0	270	45	1.00	-	-	0.84	0.36	7.00	0.33	0.63	0.02	0.25	0.53	20.03	-999.00
SW	SW01-14A-2	46.75	0	310	45	1.00	-	-	1.30	0.93	7.00	0.96	2.17	0.03	0.83	0.50	15.33	-999.00
SW	SW01-12A-2	52.05	0	270	45	1.00	-	-	0.60	0.38	5.00	1.61	0.45	0.03	4.15	0.57	12.39	-999.00
SW	SW01-11A-2	50.95	0	340	45	1.00	-	-	1.18	0.49	7.00	0.93	1.08	0.03	0.26	0.59	16.51	-999.00
TS	TS02-23A-2	61.94	0	300	45	1.00	-	-	3.38	0.72	5.00	0.07	1.34	0.06	1.53	0.59	7.44	-999.00
TS	TS01-15A-2	52.27	0	500	45	1.00	-	-	0.58	0.77	11.00	4.81	0.69	0.03	0.63	1.00	24.27	-999.00
TS	TS02-24A-2	56.50	0	300	45	1.00	-	-	1.09	0.40	7.00	0.91	0.68	0.02	2.58	0.71	28.70	-999.00
TS	TS02-09A-3	46.91	0	400	45	1.00	-	-	1.09	0.49	9.00	4.37	0.60	0.03	4.93	0.60	14.83	-999.00
TS	TS02-06A-2	50.65	150	400	45	1.00	-	-	0.52	0.85	8.00	2.36	0.91	0.03	2.19	0.55	13.93	-999.00
TS	TS02-01A-2	51.28	200	350	45	1.00	-	-	0.81	1.34	5.00	0.77	1.65	0.01	1.68	0.59	42.38	-999.00
TS	TS02-10A-3	52.20	150	300	45	1.00	-	-	0.39	0.47	7.00	1.32	0.97	0.03	2.91	0.51	14.69	-999.00
TS	TS01-05A-2	51.80	200	600	45	1.00	-	-	0.25	2.96	6.00	2.65	2.83	0.05	3.10	0.83	12.11	-999.00
TS	TS01-24A-2	51.76	100	350	45	1.00	-	-	0.97	0.46	6.00	1.03	0.53	0.03	4.32	0.56	15.57	-999.00
TS	TS02-02A-2	42.33	0	300	45	1.00	-	-	0.45	1.43	8.00	2.09	5.36	0.02	4.87	0.51	21.24	-999.00
TS	TS02-14A-2	52.77	0	350	45	1.00	-	-	0.72	1.19	8.00	1.66	3.19	0.03	2.75	0.68	19.51	-999.00
TS	TS02-19A-2	66.30	0	350	45	1.00	-	-	2.59	1.04	6.00	3.65	2.22	0.09	4.52	0.62	5.12	-999.00
TS	TS01-19A-2	43.65	100	350	45	1.00	-	-	0.66	1.36	6.00	0.66	2.70	0.05	1.97	0.59	8.80	-999.00
TS	TS01-10A-2	41.36	160	600	45	1.00	-	-	0.78	1.32	8.00	2.97	1.53	0.08	4.01	0.53	5.42	-999.00
TS	TS01-04A-1	71.72	0	250	45	1.00	-	-	0.89	0.55	5.00	0.93	0.59	0.02	4.68	0.76	35.90	-999.00
TS	TS02-12A-2	52.93	150	400	45	1.00	-	-	0.56	0.48	8.00	1.79	0.67	0.03	1.71	0.56	18.10	-999.00
TS	TS02-22A-2	50.97	150	400	45	1.00	-	-	0.87	0.92	9.00	4.26	0.61	0.03	4.00	0.56	13.97	-999.00
TS	TS01-02A-2	47.94	160	500	45	1.00	-	-	0.28	0.39	7.00	3.08	0.13	0.10	3.40	0.67	5.43	-999.00
TS	TS01-14A-2	56.81	0	250	45	1.00	-	-	1.14	0.48	5.00	2.14	1.17	0.01	4.05	0.54	24.71	-999.00
TS	TS01-06A-3	63.69	0	350	45	1.00	-	-	1.88	0.46	7.00	1.87	1.02	0.03	4.47	0.51	15.78	-999.00
TS	TS01-21A-2	50.50	0	450	45	1.00	-	-	3.22	1.43	8.00	3.84	2.18	0.06	3.52	0.78	10.99	-999.00
TS	TS01-18A-2	53.89	0	420	45	1.00	-	-	1.54	0.82	8.00	3.29	0.41	0.05	1.27	0.71	10.28	-999.00
TS	TS02-16A-2	61.73	0	400	45	1.00	-	-	2.72	0.72	7.00	2.62	1.37	0.06	2.07	0.77	9.94	-999.00
TS	TS01-16A-2	51.80	175	500	45	1.00	-	-	0.50	0.62	9.00	4.53	0.46	0.01	1.14	0.75	42.55	-999.00
TS	TS02-15A-2	50.26	0	350	45	1.00	-	-	0.47	0.33	8.00	0.92	0.27	0.02	1.90	0.62	28.53	-999.00
TS	TS02-21A-2	49.86	0	350	45	1.00	-	-	0.60	0.54	8.00	1.31	0.79	0.01	2.21	0.77	40.61	-999.00
TS	TS02-26A-2	52.90	150	300	45	1.00	-	-	0.20	0.48	6.00	1.30	0.97	0.02	1.73	0.52	20.84	-999.00
TS	TS02-03A-2	43.27	0	225	45	1.00	-	-	0.60	1.18	5.00	1.31	3.88	0.02	4.28	0.55	24.21	-999.00
