tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	HW9	ns034b	ns034	ns034b1		ns034b1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.6	273.1		g	41.1	1.736e-06	12	u	2.730e+02	0	0	0	0	8.980e+02
	This study	HW9	ns034b	ns034	ns034b1		ns034b1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.4	275.2		g	40.7	1.088e-06	13	u	2.730e+02	0	0	0	0	9.230e+02
	This study	HW9	ns034b	ns034	ns034b1		ns034b1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	267.2		g	39.5	1.585e-07	14	u	2.730e+02	0	0	0	0	9.480e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.4.0	0.5	260.4		g	42.5	1.050e-05	1	u	2.730e+02	0	0	0	0	2.730e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	265.2		g	43.3	1.018e-05	2	u	2.730e+02	0	0	0	0	3.730e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.3	263.5		g	41.3	9.942e-06	3	u	2.730e+02	0	0	0	0	4.730e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	264.4		g	41.1	9.719e-06	4	u	2.730e+02	0	0	0	0	5.730e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	263.9		g	39.3	8.842e-06	5	u	2.730e+02	0	0	0	0	6.730e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	264.0		g	40.9	7.359e-06	6	u	2.730e+02	0	0	0	0	7.730e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.4	265.6		g	40.9	1.946e-06	7	u	2.730e+02	0	0	0	0	8.730e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.6	267.1		g	36.4	8.161e-07	8	u	2.730e+02	0	0	0	0	9.230e+02
	This study	HW9	ns034c	ns034	ns034c1		ns034c1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.8	261.5		g	48.0	6.774e-08	9	u	2.730e+02	0	0	0	0	9.480e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.4.0	0.2	157.1		g	-5.8	9.165e-06	1	u	2.730e+02	0	0	0	0	2.730e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	155.3		g	-6.9	8.940e-06	2	u	2.730e+02	0	0	0	0	3.730e+02
