tab 	er_ages
age	age_culture_name	age_description	age_range_high	age_range_low	age_sigma	age_unit	astronomical_stage	biostrat_zone	conodont_zone	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	oxygen_stage	tiepoint_alternatives	tiepoint_elevation	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type	timescale_eon	timescale_epoch	timescale_era	timescale_period	timescale_stage
			100	65		Ma				:Platzman & Lowrie 1992:				Capas Rojas Formation						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Cretaceous	Mesozoic	Cretaceous	
			89	65		Ma				:Channell et al. 1992:				Scaglia Rossa						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Cretaceous	Mesozoic	Cretaceous	
			100	56		Ma				:Grishin et al. 1991:				Koryak Cretaceous-Paleogene Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Cretaceous : Paleocene	Mesozoic : Cenozoic	Cretaceous : Paleogene	
			444	359		Ma				:Grishin et al. 1991:				Silurian-Devonian Rocks, Gurvan-Sayhan Range						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Llandovery : Late Devonian	Paleozoic	Silurian : Devonian	
			1650	800		Ma				:Grishin et al. 1991:				Amanchatskaya Suite, Main Range						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
			1650	800		Ma				:Grishin et al. 1991:				Metamorphics, Main Range, Combined						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
			29	21		Ma				:Allerton et al. 1993:				Amalaya Formation						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Oligocene : Miocene	Cenozoic	Paleogene : Neogene	
			146	100		Ma				:Mauritsch et al. 1995:				Lower Cretaceous Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	
			228	200		Ma				:Mauritsch et al. 1995:				Upper Triassic Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Triassic	Mesozoic	Triassic	
			159	155		Ma				:Juarez et al. 1995:				Iberian Range Sediments, Moneva P						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Oxfordian
			155	146		Ma				:Katz et al. 1996:				Asphaltkalk Deposits						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Kimmeridgian - Tithonian
			228	204		Ma				:Henry et al. 2001:				Cevennes Sediments, Comp.B						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Triassic	Mesozoic	Triassic	Carnian - Norian
			133	100		Ma				:Channell et al. 2000:				Cismon Section						:Gradstein et al. 2004:	:GM-FOSSIL:GM-PMAG-POL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	Hauterivian - Albian
			161	146		Ma				:Aiello et al. 2004:				Tuscan, Monte Alpe Cherts						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	
		Rb-Sr isochron on shales 788+/-17 Ma.	805	771		Ma				:Potts 1990:				Torridon Group						:Gradstein et al. 2004:	:GM-RBSR:									Proterozoic		Neoproterozoic	Tonian : Cryogenian	
			161	146		Ma				:Platzman & Lowrie 1992:				Pelagic Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	
			130	125		Ma				:Jackson 1990:				Monte Maiella Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	Barremian
			1650	800		Ma				:Grishin et al. 1991:				N.Caucasus Metamorphic Rocks, Combined						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
			416	385		Ma				:Grishin et al. 1991:				Arkalyk Volcanics, Chingiz-Tarbagay, Pre-folding						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Devonian : Middle Devonian	Paleozoic	Devonian	
			444	428		Ma				:Grishin et al. 1991:				Janbazar Sediments, Chingiz-Tarbagay						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Llandovery	Paleozoic	Silurian	
			461	444		Ma				:Grishin et al. 1991:				Agyrek Rocks, Maykain-Kyziltas Zone						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Ordovician	Paleozoic	Ordovician	
			1650	800		Ma				:Grishin et al. 1991:				Makerskaya Suite, Main Range, Locality 1						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
