tab 	er_locations
continent_ocean	country	er_citation_names	er_location_alternatives	er_location_name	er_scientist_mail_names	geological_province_section	location_begin_elevation	location_begin_lat	location_begin_lon	location_class	location_description	location_end_elevation	location_end_lat	location_end_lon	location_geoid	location_lithology	location_precision	location_type	location_url	ocean_sea	plate_block	region	tectonic_setting	terrane	village_city
Europe	Albania	:Mauritsch et al. 1995:		Middle Jurassic Limestones				39.9	20.2	Sedimentary			39.9	20.2		Limestone		Outcrop				Albania			
Europe	Spain	:Juarez et al. 1994:		Oxfordian Sediments, Comp.S				41.3	358.9	Sedimentary	Middle to Late Oxfordian. Folding Oligocene-Miocene.		41.3	358.9		Limestone		Outcrop				Iberian Range		Iberia	
Europe	Italy	:Mattei et al. 1995:		Scaglia Formation, Sabrina Mountains		Scaglia Formation		42	12.8	Sedimentary			42	12.8		Limestone : marl		Outcrop				Sabrina Mountains			
Europe	Spain	:Juarez et al. 1995:		Iberian Range Sediments, Aguaton P Comp.				41.2	359.2	Sedimentary	Middle to Late Oxfordian.		41.2	359.2		Limestone		Outcrop				Spain		Iberia	
Europe	Spain	:Dinares-Turell & Garcia-Senz 2000:		Organya Aptian-Albian Sediments		Organya Basin		42.2	1.3	Sedimentary	Aptian to Albian.		42.2	1.3		Limestone : marl		Outcrop				Northern Spain		Iberia	
Europe	France	:Henry et al. 2001:		Cevennes Sediments, Comp.B				44.2	4.1	Sedimentary	Carnian-Norian. Extent 50 km. outcrops and boreholes.		44.2	4.1		Limestone : Dolostone		Outcrop				Cevennes		Massif Central	
Europe	Italy	:Aiello et al. 2004:		Tuscan, Monte Alpe Cherts				43.39	10.14	Sedimentary	Upper Jurassic. Miocene orogenesis.		43.39	10.14		cherts		Outcrop				Northern Apennines		Siberian Platform	
Europe	U.K. : Germany : Poland	:Jowett et al. 1987:		Barren pyrite facies & copper sulphide ores		Barren pyrite facies & copper sulphide ores		52	8	Sedimentary : Metamorphic	Basal Zechstein (basal PU). . subhorizontal.		52	8		ores		Outcrop				U.K.			
Europe	Bulgaria	:Kruczyk et al. 1990:		Bulgarian Jurassic Sediments				42.5	25	Sedimentary	Pliensbachian to Callovian age.		42.5	25		Sandstone : Limestone		Outcrop				Bulgaria			
Europe	Italy	:Channell 1992:		Ammonitico Rosso, Corniola Formations		Ammonitico Rosso and Corniola Formations		43.6	12.5	Sedimentary	Pliensbachian to Aalenian.		43.6	12.5		Limestone		Outcrop				Umbria			
Europe	Italy	:Channell 1992:		Umbrian Sediments		Umbrian Sediments		43.6	12.5	Sedimentary	Kimmeridgian to Barremian.		43.6	12.5		Limestone		Outcrop				Umbria			
Europe	Italy	:Channell et al. 1992:		Scaglia Rossa		Scaglia Rossa		46	12	Sedimentary	Senonian age.		46	12		red limestone		Outcrop				Venetian Alps			
Europe	Russia	:Grishin et al. 1991:		Amanchatskaya Suite, Main Range		Amanchatskaya suite		43	42	Metamorphic			43	42		metamorphics		Outcrop				N.Caucasus			
Europe	Spain	:Allerton et al. 1993:		Tortonian Marls		Tortonian Marls		37.9	358.4	Sedimentary	Tortonian age. Dips 10NW.		37.9	358.4		marl		Outcrop				Sierra Espuna			
Europe	Italy	:Muttoni & Kent 1994:		Prezzo Limestone, Buchenstein Formation		Prezzo Limestone and Buchenstein Formation		46	10.5	Sedimentary	Anisian age. Intruded by Adamello Batholith (30-42 Ma).		46	10.5		Limestone		Outcrop				Northern Italy			
