tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b_beta	specimen_correction	specimen_dck	specimen_dpal	specimen_dt	specimen_dtr	specimen_f	specimen_frac	specimen_gmax	specimen_int	specimen_int_alpha	specimen_int_corr_anisotropy	specimen_int_corr_cooling_rate	specimen_int_corr_nlt	specimen_int_dang	specimen_int_mad	specimen_int_mad_anc	specimen_int_n	specimen_int_ptrm_n	specimen_k_prime	specimen_lab_field_dc	specimen_q	specimen_scat
This study	EPR	AL2852-2	1991-1992 Eruption Site	AL2852-2e	AL2852-2e : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	698	473	K	0.07	u	4.56	0.26	-999.00	1.38	0.55	0.56	0.17	3.66e-05	2.41	1.00			2.61	5.73	1.77	10	5	0.28	2.50e-05	7.01	0
This study	EPR	AL2852-2	1991-1992 Eruption Site	AL2852-2f	AL2852-2f : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	773	623	K	0.04	u	2.15	3.60	-999.00	1.92	0.56	0.51	0.26	3.67e-05	1.26	1.00			1.79	2.00	1.37	7	7	0.20	2.50e-05	12.56	1
This study	EPR	AL3028-2	1991-1992 Eruption Site	AL3028-2a	AL3028-2a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	723	498	K	0.05	u	2.55	2.66	-999.00	nan	0.67	0.56	0.20	3.63e-05	3.20	1.00			3.61	4.50	1.91	10	7	-0.18	2.50e-05	11.21	1
This study	EPR	AL3029-4	1991-1992 Eruption Site	AL3029-4b	AL3029-4b : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	723	573	K	0.05	u	3.20	4.08	-999.00	nan	0.50	0.38	0.21	3.28e-05	13.64	1.00			14.69	9.16	4.57	7	6	-0.00	2.50e-05	7.98	1
This study	EPR	AL3029-5	1991-1992 Eruption Site	AL3029-5a	AL3029-5a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	648	K	0.08	u	4.49	0.95	-999.00	nan	0.56	0.48	0.28	3.74e-05	1.47	1.00			1.91	2.87	1.60	6	8	0.32	2.50e-05	5.14	1
This study	EPR	AL3031-1	1991-1992 Eruption Site	AL3031-1a	AL3031-1a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	648	K	0.04	u	4.82	4.62	-999.00	nan	0.51	0.49	0.33	4.13e-05	0.56	1.00			0.77	1.44	0.81	6	8	0.20	2.50e-05	8.93	1
This study	EPR	AL3031-1	1991-1992 Eruption Site	AL3031-1b	AL3031-1b : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	573	K	0.01	u	2.95	1.43	-999.00	nan	0.74	0.70	0.22	4.10e-05	0.44	1.00			0.59	2.06	1.04	9	8	0.00	2.50e-05	43.03	1
This study	EPR	AL3031-1	1991-1992 Eruption Site	AL3031-1c	AL3031-1c : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	798	473	K	0.04	u	4.99	3.94	-999.00	1.09	0.93	0.84	0.18	3.28e-05	1.79	1.00			2.36	3.09	1.83	14	7	0.26	2.50e-05	23.10	0
This study	EPR	AL3034-5	1991-1992 Eruption Site	AL3034-5a	AL3034-5a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	798	473	K	0.02	u	2.16	1.58	-999.00	nan	0.93	0.87	0.16	3.62e-05	0.92	1.00			1.27	2.14	1.26	14	7	0.14	2.50e-05	44.76	1
This study	EPR	AL3034-5	1991-1992 Eruption Site	AL3034-5b	AL3034-5b : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	723	373	K	0.08	u	4.24	0.00	-999.00	nan	0.52	0.52	0.15	4.01e-05	2.51	1.00			2.61	8.42	1.78	13	6	0.31	2.50e-05	5.85	0
