Data	Ref	IDENT	SLAT	SLONG	AGE	DAGE	AgeMtd	Continent	Country	IntM	P	Ndir	INC	DEC	k	a95	Nint	F	DF	DF%	VDM	GROUP	TYPE	FORM	ROCKMAG	COMMENTS	LOCATION NAME
1	1	Joshua Hotaka Yama	36.8	139.2	1.8	0.2	Ar/Ar	Asia	Japan	T-	R	9	-38.8	184.4		7.2	9	10.5	0.5	5	2.3	Volcanic		Lava Flow	Near magnetite grains with Tc around 560°C	Matuyama reversed epoch	
2	2	Aragats	41	45	1	1	Geologic timescale	Europe	Armenia	T-	N	6	57	356			6	39	10	26	6.9	Volcanic			Near magnetite phase		
3	2	Stepanavan	41	46	2.6	0.8	Geologic timescale	Europe	Armenia	T-	R	9	-49	173			9	45	7	16	5.7	Volcanic			Near magnetite phase	VDMc = 8.8 ?	
4	3	Stillwater Complex	45.4	-110	3100	200	Combined	North America	U.S.A.	T-	O	9	-40	160	23	10.9	4	24	0.5	2	5.2	Plutonic		Intrusion			
5	4	Anahola 05	22.3	-158.9	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	6	-22.1	155.7	690	2.6	2	11.1	0.4	4	2.7	Volcanic	Basalt				
6	4	Anahola 07	22.3	-158.9	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	-16.5	154.9	140	5.1	3	10.1	0.3	3	2.5	Volcanic	Basalt				
7	4	Anahola 16	22.3	-158.9	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	64.7	47.5	253	3.8	3	21.7	3.6	17	3.5	Volcanic	Basalt				
8	4	Kukui Trail 05	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	-40.3	170.3	3031	1.1	3	34.8	5.2	15	7.5	Volcanic	Basalt				
9	4	Kukui Trail 09	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	-27.7	158.1	191	4.4	2	43.1	4.6	11	10.2	Volcanic	Basalt				
10	4	Kukui Trail 13	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	-30	158.9	2504	1.2	3	30.1	0.4	1	7	Volcanic	Basalt				
11	4	Kukui Trail 18	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	6	-29.8	163.6	468	3.1	3	29.2	2.2	8	6.8	Volcanic	Basalt				
12	4	Kukui Trail 23	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	-20.4	191	159	4.8	3	21.8	1.4	6	5.4	Volcanic	Basalt				
13	4	Kukui Trail 26	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	-16.6	192.3	364	3.2	4	29.3	2.1	7	7.3	Volcanic	Basalt				
14	4	Kukui Trail 28	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	22.4	13.4	896	2	3	37.8	0.9	2	9.2	Volcanic	Basalt				
15	4	Kukui Trail 29	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	6	27.2	13.4	2904	1.2	3	36.8	1.6	4	8.7	Volcanic	Basalt				
16	4	Kukui Trail 30	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	7	33.3	2.1	3839	1	2	44.3	0.3	1	10.1	Volcanic	Basalt				
17	4	Kukui Trail 32	22.1	-159.4	4.4	0.6	K/Ar	Pacific Ocean	Hawaii	T+	T	6	32	359.5	2509	1.3	2	44.4	0.3	1	10.2	Volcanic	Basalt				
18	5	Achadzhur	41	45	85.5	2.5	Geologic timescale	Europe	Armenia	T-	O	44	40	19		1.5	44				6.8	Volcanic	Tuff	Baked contact	Fine grained hematite and magnetite		
19	5	Achadzhur	41	45	87	1	Geologic timescale	Europe	Armenia	S	O						4				6.6		Pebble	Baked contact			
20	5	Sarigyukh	41	45	85	1	Geologic timescale	Europe	Armenia	T-	O	33	42	18.5		2	33				7.3	Volcanic	Tuff	Baked contact	Fine grained hematite and magnetite		
21	6	425	41	45	85.5	2.5	Geologic timescale	Europe	Armenia	T-	O	4	34	40			4				7.2	Volcanic		Lava Flow	High temperature oxidized magnetite - microscopic		
22	6	499	41	45	85.5	2.5	Geologic timescale	Europe	Armenia	T-	O	6	53	47			6				6.1	Volcanic		Lava Flow	High temperature oxidized magnetite - microscopic		
23	6	500	41	45	85.5	2.5	Geologic timescale	Europe	Armenia	T-	O	3	52	57			3				6.5	Volcanic		Lava Flow	High temperature oxidized magnetite - microscopic		
24	6	502	41	45	85.5	2.5	Geologic timescale	Europe	Armenia	T-	O	1	48	64			1				6.1	Volcanic		Lava Flow	High temperature oxidized magnetite - microscopic		
25	7	Nakhichevan 01	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						3	23.1	1	4				Baked contact	fine hematite and/or magnetite	Non oriented samples	
26	7	Nakhichevan 02	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						1	15.4						Baked contact	fine hematite and/or magnetite	Non oriented samples	
27	7	Nakhichevan 03	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						2	12.8						Baked contact	fine hematite and/or magnetite	Non oriented samples	
28	7	Nakhichevan 04	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						2	11.8						Baked contact	fine hematite and/or magnetite	Non oriented samples	
29	7	Nakhichevan 05	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						3	9.2	0.5	5				Baked contact	fine hematite and/or magnetite	Non oriented samples	
30	7	Nakhichevan 06	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						1	15.4						Baked contact	fine hematite and/or magnetite	Non oriented samples	
31	7	Nakhichevan 07	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						5	14.4	1.5	10		Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
32	7	Nakhichevan 08	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						4	13.3	2	15				Baked contact	fine hematite and/or magnetite	Non oriented samples	
33	7	Nakhichevan 09	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						11	42.6	2.5	6		Volcanic	Porphyrite	Baked contact	fine hematite and/or magnetite	Non oriented samples	
34	7	Nakhichevan 10	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						7	22.6	1	4		Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
35	7	Nakhichevan 11	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						3	15.4						Baked contact	fine hematite and/or magnetite	Non oriented samples	
36	7	Nakhichevan 12	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						1	18						Baked contact	fine hematite and/or magnetite	Non oriented samples	
37	7	Nakhichevan 13	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						5	16.9	0.5	3		Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
38	7	Nakhichevan 14	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						4	10.3				Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
39	7	Nakhichevan 15	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						2	11.3	2	18		Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
40	7	Nakhichevan 16	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						14	14.9	0.5	3		Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
41	7	Nakhichevan 17	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						1	12.8				Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
42	7	Nakhichevan 18	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						2	16.4	1.5	9				Baked contact	fine hematite and/or magnetite	Non oriented samples	
43	7	Nakhichevan 19	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						4	21.5	0.5	2				Baked contact	fine hematite and/or magnetite	Non oriented samples	
44	7	Nakhichevan 20	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						4	7.7	1	13				Baked contact	fine hematite and/or magnetite	Non oriented samples	
45	7	Nakhichevan 21	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						4	7.7	0.5	6				Baked contact	fine hematite and/or magnetite	Non oriented samples	
46	7	Nakhichevan 22	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						3	10.3	0.5	5				Baked contact	fine hematite and/or magnetite	Non oriented samples	
47	7	Nakhichevan 23	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						1	19.5						Baked contact	fine hematite and/or magnetite	Non oriented samples	
48	7	Nakhichevan 24	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						2	17.4						Baked contact	fine hematite and/or magnetite	Non oriented samples	
49	7	Nakhichevan 25	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						4	12.8	2.5	20		Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
50	7	Nakhichevan 26	39	46	164.5	10.5	Geologic timescale	Europe	Azerbaijan	T-	O						4	18	2.5	14		Volcanic	Tuff	Baked contact	fine hematite and/or magnetite	Non oriented samples	
51	7	North Caucasus 01	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	4	33	20		15	4	29	2	7	6.5	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
52	7	North Caucasus 01r	44	42	193.5	9.5	Geologic timescale	Europe	Russia	T-	O	3	-50	152		14	4	18	1	6	3.4	Volcanic	Porphyrite	Baked contact			
53	7	North Caucasus 02	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	7	40	31		10	8	16	1	6	3.4	Sediment	Sandstone	Baked contact	fine magnetite and hematite grains		
54	7	North Caucasus 02r	44	42	193.5	9.5	Geologic timescale	Europe	Russia	T-	O	5	-42	161		10	4	18	1	6	3.8	Volcanic	Porphyrite	Baked contact			
55	7	North Caucasus 03	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	26	54	7		5	23	16	1	6	2.9	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
56	7	North Caucasus 03r	44	42	193.5	9.5	Geologic timescale	Europe	Russia	T-	O	4	-41	160		9	3	18	1	6	3.8	Volcanic	Porphyrite	Baked contact			
57	7	North Caucasus 04	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	4	55	16		7.5	5	24	3	12	4.3	Volcanic	Porphyrite	Baked contact	fine magnetite and hematite grains		
58	7	North Caucasus 04r	44	42	193.5	9.5	Geologic timescale	Europe	Russia	T-	O	28	-52	140		4	38	19	1	5	3.5			Baked contact			
59	7	North Caucasus 05	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	6	42	50		11	6	28	2	7	5.8	Volcanic	Porphyrite	Baked contact	fine magnetite and hematite grains		
60	7	North Caucasus 06	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	7	44	60		7	8	23	2	9	5.2	Volcanic	Porphyrite	Baked contact	fine magnetite and hematite grains		
61	7	North Caucasus 07	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	7	46	45		9	7	15	2	13	3.3	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
62	7	North Caucasus 08	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	16	-56	192		2.5	16	35	1	3	6.2	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
63	7	North Caucasus 09	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	5	-51	182		9	3	36	1	3	6.8			Baked contact	fine magnetite and hematite grains		
64	7	North Caucasus 10	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	10	-52	184		7.5	15	22	1	5	4.1	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
65	7	North Caucasus 11	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	10	-50	203		5.5	14	25	2	8	4.7	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
66	7	North Caucasus 12	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	4	-50	201		14	4	24	4	17	4.6	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
67	7	North Caucasus 13	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	12	-43	193		7	15	21	1	5	4.3	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
68	7	North Caucasus 14	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	18	-54	196		4	17	24	1	4	4.4			Baked contact	fine magnetite and hematite grains		
69	7	North Caucasus 15	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	12	-51	195		7	10	22	1	5	4.2			Baked contact	fine magnetite and hematite grains		
70	7	North Caucasus 16	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	18	-55	201		8.5	14	27	2	7	4.8	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
71	7	North Caucasus 17	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	8	-54	190		11	5	25	2	8	4.6	Volcanic	Porphyrite	Baked contact	fine magnetite and hematite grains		
72	7	North Caucasus 18	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	5	-48	196		9	6	17	1	6	3.4	Volcanic	Porphyrite	Baked contact	fine magnetite and hematite grains		
73	7	North Caucasus 19	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	4	-34	201		9	4	25	1	4	5.6	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
74	7	North Caucasus 20	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	11	-34	201		5	10	23	2	9	5.2	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
75	7	North Caucasus 21	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	4	-37	195		17	3	19	1	5	4.2	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
76	7	North Caucasus 22	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	15	-42	198		9	15	24	1	4	4.9			Baked contact	fine magnetite and hematite grains		
77	7	North Caucasus 23	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	7	-52	194		17	9	23	1	4	4.3	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
78	7	North Caucasus 24	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	6	-48	193		14	8	18	1	6	3.5	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
79	7	North Caucasus 25	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	4	-38	196		14	5	20	2	10	4.3	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
80	7	North Caucasus 26	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	6	-44	222		9	6	18	2	11	3.7	Sediment	Sandstone	Baked contact	fine magnetite and hematite grains		
81	7	North Caucasus 27	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	4	-44	218		17	5	20	1	5	4.1			Baked contact	fine magnetite and hematite grains		
82	7	North Caucasus 28	44	42	187.5	3.5	Geologic timescale	Europe	Russia	T-	O	6	-48	190		12	4	12	1	8	2.4	Volcanic	Tuff	Baked contact	fine magnetite and hematite grains		
83	7	Somkheto-Karabakh 01	41	45.5	162	2	Geologic timescale	Europe	Azerbaijan	T-	O	5	41	355		9	3	9	1	11	1.9	Volcanic	Tuff	Baked contact	Magnetite		
84	7	Somkheto-Karabakh 02	41	45.5	162	2	Geologic timescale	Europe	Azerbaijan	T-	O	2	43	354			3	10	1	10	2	Volcanic	Tuff	Baked contact	Magnetite		
85	7	Somkheto-Karabakh 03	41	45.5	162	2	Geologic timescale	Europe	Azerbaijan	T-	O	4	48	352		15	8	13	1	8	2.5			Baked contact	Magnetite		
86	7	Somkheto-Karabakh 04	41	45.5	162	2	Geologic timescale	Europe	Azerbaijan	T-	O	5	46	18		3	4	13	1	8	2.6	Volcanic	Tuff	Baked contact	Magnetite		
87	7	Somkheto-Karabakh 05	41	45.5	162	2	Geologic timescale	Europe	Azerbaijan	T-	O	2	41	12			1	13			2.7	Volcanic	Tuff	Baked contact	Magnetite		
88	7	Somkheto-Karabakh 06	41	45.5	162	2	Geologic timescale	Europe	Azerbaijan	T-	O	1	51	13			1	11			2	Volcanic	Tuff	Baked contact	Magnetite		
89	7	Somkheto-Karabakh 07	41	45.5	162	2	Geologic timescale	Europe	Azerbaijan	T-	O	3	41	18		13	7	13	1	8	2.7	Volcanic	Tuff	Baked contact	Magnetite		
90	7	Somkheto-Karabakh 08	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	11	-39	174		2	21	11	1	9	2.4	Sediment	Sandstone	Baked contact	Magnetite		
91	7	Somkheto-Karabakh 09	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	3	46	38		19	3	9	1	11	1.8	Sediment	Sandstone	Baked contact	Magnetite		
92	7	Somkheto-Karabakh 10	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	2	48	24			2	12	1	8	2.4	Sediment	Sandstone	Baked contact	Magnetite		
93	7	Somkheto-Karabakh 11	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	8	36	8		6	8	13	1	8	2.9	Sediment	Sandstone	Baked contact	Magnetite		
94	7	Somkheto-Karabakh 12	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	3	36	286		21	1	12			2.6	Sediment	Sandstone	Baked contact	Magnetite		
95	7	Somkheto-Karabakh 13	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	5	42	2		7	9	11	1	9	2.3	Volcanic	Tuff	Baked contact	Magnetite		
96	7	Somkheto-Karabakh 14	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	2	45	15			9	14	1	7	2.9	Volcanic	Tuff	Baked contact	Magnetite		
97	7	Somkheto-Karabakh 15	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	2	47	27			3	11	1	9	2.2	Volcanic	Tuff	Baked contact	Magnetite		
98	7	Somkheto-Karabakh 16	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	7	39	358		8	15	10	1	10	2.1	Volcanic	Porphyrite	Baked contact	Magnetite		
99	7	Somkheto-Karabakh 17	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	5	45	342		1	14	13	1	8	2.6	Volcanic	Porphyrite	Baked contact	Magnetite		
100	7	Somkheto-Karabakh 18	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	3	44	352		1	3	8	1	12	1.6	Volcanic	Porphyrite	Baked contact	Magnetite		
101	7	Somkheto-Karabakh 19	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	4	46	352		11	5	13	1	8	2.6	Sediment	Sandstone	Baked contact	Magnetite		
102	7	Somkheto-Karabakh 20	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	2	-47	142			2	12	1	8	2.4	Volcanic	Porphyrite	Baked contact	Magnetite		
103	7	Somkheto-Karabakh 21	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	2	-50	220			2	10	1	10	1.9			Baked contact	Magnetite		
104	7	Somkheto-Karabakh 22	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	5	36	16		6	3	11	1	9	2.5	Volcanic	Tuff	Baked contact	Magnetite		
105	7	Somkheto-Karabakh 23	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	2	48	20			2	12	1	8	2.4	Volcanic	Tuff	Baked contact	Magnetite		
106	7	Somkheto-Karabakh 24	41	45.5	167	3	Geologic timescale	Europe	Azerbaijan	T-	O	4	48	21		9	3	12	1	8	2.4	Volcanic	Tuff	Baked contact	Magnetite		
107	8	NCauc01	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	2	-34	260			2	16	1	6	3.6	Volcanic	Porphyrite	Baked contact			
108	8	NCauc02	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	7	-24	252		5	5	16	1	6	3.9	Volcanic	Porphyrite	Baked contact			
109	8	NCauc03	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	8	-41	266		6	7	18	1	6	3.8	Volcanic	Porphyrite	Baked contact			
110	8	NCauc04	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	6	-33	243		8	15	17	1	6	3.9	Volcanic	Tuff	Baked contact			
111	8	NCauc05	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	23	-34	250		5	27	20	1	5	4.5	Volcanic	Tuff	Baked contact			
112	8	NCauc06	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	16	-29	248		4	17	21	1	5	4.9	Volcanic	Porphyrite	Baked contact			
113	8	NCauc07	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	10	-30	247		5	11	20	1	5	4.7	Volcanic	Porphyrite	Baked contact			
114	8	NCauc08	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	11	-27	246		7	15	21	1	5	5	Volcanic	Porphyrite	Baked contact			
115	8	NCauc09	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	12	-23	250		5	11	22	1	5	5.4	Volcanic	Porphyrite	Baked contact			
116	8	NCauc10	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	7	-18	250		6	15	18	1	6	4.5	Volcanic		Baked contact			
117	8	NCauc11	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	36	-33	250		3	30	15	1	7	3.4	Volcanic		Baked contact			
118	8	NCauc12	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	24	-31	250		3	22	22	1	5	5.1			Baked contact			
119	8	NCauc13	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	12	-24	262		7	13	14	1	7	3.4			Baked contact			
120	8	NCauc14	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	7	-21	251		7	13	13	1	8	3.2			Baked contact			
121	8	NCauc15	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	6	-10	250		8	7	13	1	8	3.3	Volcanic	Porphyrite	Baked contact			
122	8	NCauc16	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	11	-28	238		6	12	14	1	7	3.3			Baked contact			
123	8	NCauc17	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	6	-24	237		6	7	13	1	8	3.1			Baked contact			
124	8	NCauc18	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	2	-22	238			2	13	1	8	3.2	Volcanic	Porphyrite	Baked contact			
125	8	NCauc19	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	13	-33	245		5	8	14	1	7	3.2	Volcanic	Porphyrite	Baked contact			
126	8	NCauc20	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	10	-23	248		8	9	12	1	8	2.9			Baked contact			
127	8	NCauc21	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	3	-19	256		9	3	13	1	8	3.2	Volcanic	Porphyrite	Baked contact			
128	8	NCauc22	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R	4	-11	247		7	6	13	1	8	3.3	Volcanic	Porphyrite	Baked contact			
129	8	NCauc23	43	42	276.5	18.5	Geologic timescale	Europe	Russia	T-	R						3	13	2	15	3.2	Volcanic	Porphyrite	Baked contact			
130	8	Uzbek01	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	18	-44	150		5	11	35	1	3	7.2	Volcanic	Tuff	Baked contact			
131	8	Uzbek02	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	14	-46	152		4	13	35	1	3	7.1	Volcanic	Ignimbrite	Lava Flow			
132	8	Uzbek03	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	18	-44	134		5	20	34	2	6	7	Volcanic	Ignimbrite	Lava Flow			
133	8	Uzbek04	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	11	-35	144		6	13	37	1	3	8.3	Volcanic	Tuff	Baked contact			
134	8	Uzbek05	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	13	-35	148		4	12	33	1	3	7.4	Volcanic	Tuff	Baked contact			
135	8	Uzbek06	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	14	-43	150		4	14	35	1	3	7.3	Volcanic	Tuff	Baked contact			
136	8	Uzbek07	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	12	-40	150		5	12	34	1	3	7.3	Volcanic	Tuff	Baked contact			
137	8	Uzbek08	41	70	280	5	Radiometric age	Asia	Uzbekistan	T-	O	14	-38	145		5	13	29	1	3	6.3	Volcanic	Tuff	Baked contact			
138	9	Azerbaijan	40	47	25	5	Estimated age	Europe	Azerbaijan	Z	O						9	51	5	10		Volcanic					
139	9	Chegem	40	45	3.5	1.5	Estimated age	Europe	Armenia	W	N						13	43	4	9							
140	9	Kuriin flow	41	44	0.4	0.4	Estimated age	Europe	Georgia	Z	R						10	54	4.5	8		Volcanic	Dolerite				
141	10	1	40	45	1	1	Estimated age	Europe	Armenia	T-	N		61	357			9	49	2	4	8.7			Baked contact			
142	10	2	40	45	1	1	Estimated age	Europe	Armenia	T-	R		-62	174.5			3	45	1	2	7.8			Baked contact			
143	11	Basargechar	40.2	45.7	1	1	Stratigraphic	Europe	Armenia	T-	N		61	357			9	49	2	4	8.3			Baked contact			
144	11	Kamo	40.3	45.2	3	2	Stratigraphic	Europe	Armenia	T-	R		-52.5	165.5			45	32.7	0.3	1	6.1			Baked contact			
145	11	Karbi1	40.3	44.4	1	0.3	Stratigraphic	Europe	Armenia	T-	N		47.5	356			45	43.4	0.3	1	8.5			Baked contact		"age in Petrova et al., 1979"	
146	11	Karbi2	40.3	44.4	1	0.3	Stratigraphic	Europe	Armenia	T-	N		60	350.5			10	46.7	0.8	2	7.8			Baked contact		"Izv., Earth Phys., 15, 75-79"	
149	11	Manycharsk	40.3	45.2	2.3	0.6	Stratigraphic	Europe	Armenia	T-	R		-62	198			29	33.8	0.3	1	5.6			Baked contact		"age in Petrova et al., 1979"	
150	11	Tsovak	40.7	45.2	1.4	0.3	Stratigraphic	Europe	Armenia	T-	R		-62	174.5			30	45	1	2	7.4			Baked contact		"age in Petrova et al., 1979"	
151	15	Shampandin region B1	41	45	150	4	Geologic timescale	Europe	Armenia	T-	N	20	48	3		1	24	17	1	6	3.4			Baked contact			
152	15	Shampandin region B2	41	45	150	4	Geologic timescale	Europe	Armenia	T-	R	29	-71.5	293		5	33	11	0.5	5	1.6			Baked contact			
153	15	Shampandin region B3	41	45	150	4	Geologic timescale	Europe	Armenia	T-	R	43	-80.5	20		1	14	17	1	6	2.3			Baked contact			
154	15	Shampandin region B4	41	45	150	4	Geologic timescale	Europe	Armenia	T-	N	20	49	356		2.5	31	19	0.5	3	3.6			Baked contact			
155	15	Shampandin region B5	41	45	143.5	2.5	Geologic timescale	Europe	Armenia	T-	R	15	-29	183		4.5	26	15	0.5	3	3.6			Baked contact			
156	15	Shampandin region B6	41	45	143.5	2.5	Geologic timescale	Europe	Armenia	T-	N	20	38.5	350.5		2	30	21	3	14	4.4			Baked contact			
157	15	Shampandin region B7	41	45	143.5	2.5	Geologic timescale	Europe	Armenia	T-	N	23	40	43		6	38	16	0.5	3	3.5			Baked contact			
158	16	Paravakar 1	41	45	86	3	Geologic timescale	Europe	Armenia	T-	O						6	9	1	11	0.9	Volcanic		Lava Flow			
