tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc09	McMurdo	mc09b : mc09d:mc09a	mc09b : mc09d:mc09a	0.07400000000000001	0.0075	Ma													-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Intensity included in Pmag_Results.	pmagpy-2.60	2.71e-05	1.007e-06	3.715	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc10	McMurdo		mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h:mc10a	4.0	4.0	Ma	4.1	A	335.3	-78.6	184.5	8.0	8.0	0.0	p	n	7.9621	0.0	-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc10	McMurdo	mc10d	mc10d	4.0	4.0	Ma													-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	3.737e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc100	McMurdo		mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2:mc100a1	0.86	0.115	Ma	2.6	A	9.9	-76.6	582.7	7.0	5.0	2.0	p	n	6.9914	0.0	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc101	McMurdo		mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1:mc101a1	1.065	0.004	Ma	3.1	A	38.5	-80.6	460.8	6.0	6.0	0.0	p	n	5.9891	0.0	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc102	McMurdo		mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1:mc102a1	0.264	0.01	Ma	3.4	A	150.4	75.7	326.5	7.0	6.0	1.0	p	r	6.9832	0.0	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc103	McMurdo		mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2:mc103a1	1.421	0.015	Ma	1.8	A	138.2	73.6	1460.2	6.0	6.0	0.0	p	r	5.9966	0.0	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc103	McMurdo	mc103e	mc103e1	1.421	0.015	Ma													-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	2.1e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc104	McMurdo		mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1:mc104a1	0.29	0.01	Ma	3.2	A	72.1	-77.2	367.4	7.0	5.0	2.0	p	n	6.9864	0.0	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc105	McMurdo		mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1:mc105a1	0.86	0.035	Ma	2.1	A	193.2	69.5	671.0	8.0	8.0	0.0	p	r	7.9896	0.0	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
