tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc117	McMurdo		mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1:mc117a1	2.28	0.12	Ma	1.2	A	164.5	70.0	3152.4	6.0	6.0	0.0	p	r	5.9984	0.0	-78.235	162.97299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc117	McMurdo	mc117b : mc117d : mc117e:mc117a	mc117b1 : mc117d2 : mc117e2:mc117a1	2.28	0.12	Ma													-78.235	162.97299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.641e-05	7.253e-07	2.747	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc118	McMurdo		mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2:mc118a1	0.31	0.02	Ma	6.1	A	58.9	-53.1	99.0	7.0	7.0	0.0	p	n	6.9394	0.0	-78.241	163.141	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc119	McMurdo		mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1	1.08	0.11	Ma	2.3	A	124.8	49.0	864.8	6.0	6.0	0.0	p	r	5.9942	0.0	-78.23899999999999	162.957	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc119	McMurdo	mc119b : mc119d : mc119e : mc119f:mc119a	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1	1.08	0.11	Ma													-78.23899999999999	162.957	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	4.097e-05	1.9469999999999997e-06	4.753	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc120	McMurdo		mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2:mc120a1	1.756	0.025	Ma	2.3	A	73.6	-70.6	509.6	9.0	9.0	0.0	p	n	8.9843	0.0	-78.241	163.092	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc120	McMurdo	mc120b : mc120c : mc120f:mc120a	mc120b1 : mc120b2 : mc120c1 : mc120f1:mc120a1	1.756	0.025	Ma													-78.241	163.092	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.432e-05	7.248999999999999e-07	2.9810000000000003	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc121	McMurdo		mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2:mc121a1	2.505	0.03	Ma	2.3	A	117.4	78.4	389.2	11.0	11.0	0.0	p	r	10.9743	0.0	-78.235	162.954	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc121	McMurdo	mc121d : mc121e : mc121f : mc121g : mc121k: mc121k :mc121c	mc121d1 : mc121e1 : mc121f2 : mc121g1 : mc121k1 : mc121k2:mc121c1	2.505	0.03	Ma													-78.235	162.954	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	2.466e-05	7.0860000000000004e-06	28.73	7.0	This study	DA-AC-AARM:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc122	McMurdo		mc122b1 : mc122c1 : mc122d1 : mc122k2:mc122a1	12.699000000000002	0.045	Ma	5.8	A	12.2	-72.4	177.8	5.0	5.0	0.0	p	n	4.9775	0.0	-78.187	163.58	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc123	McMurdo		mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1:mc123a1	1.93	0.025	Ma	3.1	A	76.1	-82.1	317.2	8.0	8.0	0.0	p	n	7.9779	0.0	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc123	McMurdo	mc123b : mc123c:mc123a	mc123b1 : mc123b2 : mc123c3:mc123a2	1.93	0.025	Ma													-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.004e-05	2.256e-06	7.511	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc124	McMurdo		mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1:mc124a1	12.61	0.055	Ma	2.4	A	13.2	-73.4	654.8	7.0	7.0	0.0	p	n	6.9908	0.0	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc125	McMurdo		mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1	4.26	0.09	Ma	5.4	A	345.0	-67.7	92.4	9.0	9.0	0.0	p	n	8.9134	0.0	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc125	McMurdo	mc125i	mc125i1	4.26	0.09	Ma													-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	2.592e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc126	McMurdo		mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1:mc126a2	4.0	4.0	Ma	5.5	A	359.4	-79.6	103.2	8.0	8.0	0.0	p	n	7.9321	0.0	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc127	McMurdo		mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1:mc127a1	1.942	0.034	Ma	2.1	A	326.2	-67.2	666.9	8.0	8.0	0.0	p	n	7.9895	0.0	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc127	McMurdo	mc127c:mc127a	mc127c1:mc127a2	1.942	0.034	Ma													-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.849e-05	1.5219999999999998e-06	3.9539999999999997	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc128	McMurdo		mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1:mc128b1	4.0	4.0	Ma	2.8	A	36.9	-80.1	395.8	8.0	8.0	0.0	p	n	7.9823	0.0	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc128	McMurdo	mc128c : mc128j:mc128b	mc128c2 : mc128j1:mc128b2	4.0	4.0	Ma													-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.429e-05	2.688e-06	7.8389999999999995	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc129	McMurdo		mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1	4.0	4.0	Ma	2.3	A	22.1	-54.5	490.9	9.0	9.0	0.0	p	n	8.9837	0.0	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc13	McMurdo		mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h:mc13a	0.055	0.005	Ma	3.5	A	110.5	-70.6	259.5	8.0	7.0	1.0	p	n	7.975	0.0	-77.64	166.41	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc13	McMurdo	mc13b : mc13c:mc13a	mc13b : mc13c:mc13a	0.055	0.005	Ma													-77.64	166.41	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC	12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. Intensity included in Pmag_Results.	pmagpy-2.60	3.041e-05	2.177e-06	7.1579999999999995	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc130	McMurdo		mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1	7.251	0.035	Ma	3.3	A	150.5	46.1	405.9	6.0	6.0	0.0	p	r	5.9877	0.0	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc131	McMurdo		mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1:mc131a3	4.0	4.0	Ma	2.4	A	22.3	-58.1	526.8	8.0	8.0	0.0	p	n	7.9867	0.0	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc131	McMurdo	mc131c : mc131d : mc131e : mc131g:mc131b	mc131c2 : mc131d2 : mc131e1 : mc131g1:mc131b1	4.0	4.0	Ma													-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	1.679e-05	8.906999999999999e-07	5.303999999999999	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc132	McMurdo		mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1:mc132a1	4.0	4.0	Ma	5.0	A	6.3	38.3	195.4	6.0	4.0	2.0	p	t	5.9795	0.0	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc132	McMurdo	mc132f : mc132g : mc132h : mc132i : mc132j : mc132k:mc132e	mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1:mc132e2	4.0	4.0	Ma													-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.2939999999999997e-06	1.438e-07	4.365	7.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc133	McMurdo		mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2	4.0	4.0	Ma	4.4	A	36.3	-85.7	235.0	6.0	6.0	0.0	p	n	5.9787	0.0	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc133	McMurdo	mc133g:mc133f	mc133g1:mc133f1	4.0	4.0	Ma													-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	4.6299999999999994e-05	3.454e-06	7.46	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc134	McMurdo		mc134c1 : mc134e1 : mc134f1 : mc134k1:mc134a1	9.02	0.025	Ma	2.6	A	12.5	-84.3	886.4	5.0	5.0	0.0	p	n	4.9955	0.0	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc135	McMurdo		mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2:mc135a1	4.0	4.0	Ma	3.8	A	264.1	-77.8	215.3	8.0	8.0	0.0	p	n	7.9675	0.0	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc135	McMurdo	mc135c	mc135c2	4.0	4.0	Ma													-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	4.108e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc136	McMurdo		mc136c1 : mc136d1 : mc136d2 : mc136e1:mc136a1	1.99	0.3	Ma	3.5	A	103.4	18.5	513.7	5.0	4.0	1.0	p	t	4.9932	0.0	-78.282	163.329	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc137	McMurdo		mc137d1 : mc137h1 : mc137j2 : mc137l1:mc137a1	4.0	4.0	Ma	8.7	A	71.2	34.2	120.4	5.0	1.0	4.0	p	t	4.9834	0.0	-78.26100000000001	163.257	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC		pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc138	McMurdo		mc138b1 : mc138d1 : mc138g1 : mc138h1:mc138a1	1.21	0.09	Ma	4.4	A	83.0	12.1	473.2	5.0	1.0	4.0	p	t	4.9958	0.0	-78.26	163.24	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC		pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc139	McMurdo		mc139d1 : mc139e1 : mc139h1 : mc139j2:mc139a2	0.882	0.04	Ma	2.3	A	168.6	79.0	1124.5	5.0	5.0	0.0	p	r	4.9964	0.0	-78.26	163.08	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc139	McMurdo	mc139c	mc139c1	0.882	0.04	Ma													-78.26	163.08	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.976e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc14	McMurdo		mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h:mc14a	4.0	4.0	Ma	2.6	A	0.9	-80.8	439.5	8.0	8.0	0.0	p	n	7.9841	0.0	-77.46	169.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc14	McMurdo	mc14d : mc14h:mc14b	mc14d : mc14h:mc14b	4.0	4.0	Ma													-77.46	169.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	6.945e-05	1.431e-05	20.61	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc140	McMurdo		mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1:mc140a1	2.043	0.045	Ma	2.4	A	343.7	-79.2	654.7	7.0	6.0	1.0	p	n	6.9916	0.0	-78.27600000000001	163.004	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc140	McMurdo	mc140b : mc140c : mc140d:mc140a	mc140b1 : mc140c1 : mc140d1:mc140a1	2.043	0.045	Ma													-78.27600000000001	163.004	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.746e-05	2.7060000000000004e-06	15.5	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc141	McMurdo		mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1:mc141b1	1.31	0.01	Ma	2.6	A	133.0	83.5	549.9	7.0	7.0	0.0	p	r	6.9891	0.0	-77.58	166.24599999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc142	McMurdo		mc142c1 : mc142c2 : mc142d1 : mc142e1 : mc142e2 : mc142f2 : mc142i2 : mc142k1 : mc142k2:mc142b2	1.225	0.01	Ma	2.0	A	311.9	84.7	585.0	10.0	10.0	0.0	p	r	9.9846	0.0	-77.851	166.68	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc142	McMurdo	mc142d : mc142k:mc142c	mc142d1 : mc142k2:mc142c1	1.225	0.01	Ma													-77.851	166.68	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.563e-05	2.74e-06	17.54	3.0	This study	DA-AC-AARM:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc143	McMurdo		mc143c1 : mc143d2 : mc143g1 : mc143h1 : mc143i1:mc143a1	2.08	0.32899999999999996	Ma	5.1	A	29.7	-48.6	172.2	6.0	6.0	0.0	p	n	5.971	0.0	-78.244	162.879	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc144	McMurdo		mc144b1 : mc144d1 : mc144e1 : mc144f1 : mc144h2 : mc144j1 : mc144j2:mc144a1	1.25	0.5	Ma	4.0	A	194.4	79.9	195.5	8.0	7.0	1.0	p	r	7.9667	0.0	-77.85	166.688	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc144	McMurdo	mc144f : mc144h : mc144k:mc144e	mc144f1 : mc144h1 : mc144k1:mc144e1	1.25	0.5	Ma													-77.85	166.688	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.425e-05	5.946e-06	41.73	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc145	McMurdo		mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1:mc145b1	1.9	0.06	Ma	3.5	A	28.6	2.7	378.0	6.0	6.0	0.0	p	t	5.9868	0.0	-78.24	162.893	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc145	McMurdo	mc145f : mc145k : mc145l:mc145c	mc145f1 : mc145k2 : mc145l1:mc145c2	1.9	0.06	Ma													-78.24	162.893	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	6.942000000000001e-06	2.1550000000000002e-07	3.105	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc146	McMurdo		mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1:mc146a1	1.37	0.21	Ma	5.6	A	236.3	62.0	117.8	7.0	7.0	0.0	p	r	6.9491	0.0	-78.22	162.963	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc146	McMurdo	mc146f:mc146e	mc146f1:mc146e1	1.37	0.21	Ma													-78.22	162.963	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	1.721e-05	7.085e-07	4.118	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc147	McMurdo		mc147c1 : mc147i1 : mc147j2 : mc147k2:mc147a1	1.63	0.16	Ma	2.7	A	220.2	67.4	830.9	5.0	5.0	0.0	p	r	4.9952	0.0	-78.196	162.96200000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc147	McMurdo	mc147i : mc147j : mc147k:mc147a	mc147i1 : mc147j2 : mc147k2:mc147a1	1.63	0.16	Ma													-78.196	162.96200000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.277e-05	2.539e-06	11.15	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc148	McMurdo		mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1:mc148a1	0.718	0.33	Ma	5.7	A	282.1	-80.2	140.6	6.0	6.0	0.0	p	n	5.9644	0.0	-77.492	167.24900000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc148	McMurdo	mc148i : mc148j:mc148d	mc148i1 : mc148j1:mc148d1	0.718	0.33	Ma													-77.492	167.24900000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	5.156e-05	1.5580000000000002e-06	3.0210000000000004	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM	g												
mc15	McMurdo		mc15b : mc15c : mc15c2 : mc15d : mc15e : mc15f : mc15g : mc15h:mc15a	1.33	0.01	Ma	1.8	A	166.3	84.2	819.9	9.0	9.0	0.0	p	r	8.9902	0.0	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc15	McMurdo	mc15c : mc15h:mc15b	mc15c : mc15h:mc15b	1.33	0.01	Ma													-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Hornblende trachyte capping Post Office Hill, Cape Crozier. Intensity included in Pmag_Results.	pmagpy-2.60	2.802e-05	2.569e-06	9.167	3.0	This study	DA-AC-AARM:IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
