tab	images
location	site	file	keywords	title	type	citations	photographers	timestamp
McMurdo	mc165	P1310045_1.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC165 detail of A-H	Outcrop	This study	Lisa Tauxe	2004-01-31T00:00:00Z
McMurdo	mc166	P2020025.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter orienting samples	Outcrop	This study	Lisa Tauxe	2004-02-02T00:00:00Z
McMurdo	mc166	P2020026.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC166 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-02T00:00:00Z
McMurdo	mc166	P2020027.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC166 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-02T00:00:00Z
McMurdo	mc166	P2020028.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC166 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-02T00:00:00Z
McMurdo	mc167	P2020038.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC167 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc168	P2020050.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC168 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc168	P2020051.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC168 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc168	P2020053.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	view from outcrop	Landscape	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc168	P2020054.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter taking sun compass reading	Outcrop	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc169	P2030059.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC169 samples A-D	Outcrop	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc169	P2030060.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC169 samples E-G	Outcrop	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc169	P2030064.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC169 overview	Outcrop	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc169	P2030065.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	view from MC169	Landscape	This study	Lisa Tauxe	2004-02-03T00:00:00Z
McMurdo	mc170	P2030030.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC170 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-04T00:00:00Z
McMurdo	mc170	P2030031.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC170 detail of samples	Outcrop	This study	Lisa Tauxe	2004-02-04T00:00:00Z
McMurdo	mc200	DSC_0079.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0080.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0081.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0082.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0083.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0084.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0085.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0086.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0087.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0088.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
McMurdo	mc200	DSC_0089.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	MC200 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-24T00:00:00Z
