tab	samples
sample	site	lat	lon	geologic_classes	geologic_types	lithologies	description	azimuth	azimuth_dec_correction	dip	orientation_quality	citations	method_codes
mc06b	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	171.0	0	-13.0	g	This study	SO-SIGHT:FS-FD
mc06c	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	209.0	0	-26.0	g	This study	SO-SIGHT:FS-FD
mc06d	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	128.0	0	-20.0	g	This study	SO-SIGHT:FS-FD
mc06e	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	139.0	0	-18.0	g	This study	SO-SIGHT:FS-FD
mc06f	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	131.0	0	-17.0	g	This study	SO-SIGHT:FS-FD
mc06g	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	97.0	0	-22.0	g	This study	SO-SIGHT:FS-FD
mc06h	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	81.0	0	-22.0	g	This study	SO-SIGHT:FS-FD
mc07a	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	70.0	0	-50.0	g	This study	SO-SIGHT:FS-FD
mc07b	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	314.0	0	-47.0	g	This study	SO-SIGHT:FS-FD
mc07c	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	304.0	0	-53.0	g	This study	SO-SIGHT:FS-FD
mc07d	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	270.0	0	-45.0	g	This study	SO-SIGHT:FS-FD
mc07e	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	290.0	0	-49.0	g	This study	SO-SIGHT:FS-FD
mc07f	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	299.0	0	-50.0	g	This study	SO-SIGHT:FS-FD
mc07g	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	273.0	0	-39.0	g	This study	SO-SIGHT:FS-FD
mc07h	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	320.0	0	-51.0	g	This study	SO-SIGHT:FS-FD
mc08a	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	245.0	0	-54.0	g	This study	SO-SIGHT:FS-FD
mc08b	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	320.0	0	-35.0	g	This study	SO-SIGHT:FS-FD
mc08c	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	197.0	0	-32.0	g	This study	SO-SIGHT:FS-FD
mc08d	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	74.0	0	-28.0	g	This study	SO-SIGHT:FS-FD
mc08e	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	345.0	0	-27.0	g	This study	SO-SIGHT:FS-FD
mc08f	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	234.0	0	-49.0	g	This study	SO-SIGHT:FS-FD
mc08g	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	315.0	0	-48.0	g	This study	SO-SIGHT:FS-FD
mc08h	mc08	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	292.0	0	-32.0	g	This study	SO-SIGHT:FS-FD
mc09a	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	14.0	0	-50.0	g	This study	SO-SIGHT:FS-FD
mc09b	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	85.0	0	-48.0	g	This study	SO-SIGHT:FS-FD
mc09c	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	54.0	0	-67.0	g	This study	SO-SIGHT:FS-FD
mc09d	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	37.0	0	-76.0	g	This study	SO-SIGHT:FS-FD
mc09e	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	36.0	0	-71.0	g	This study	SO-SIGHT:FS-FD
mc09f	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	67.0	0	-75.0	g	This study	SO-SIGHT:FS-FD
mc09g	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	291.0	0	-57.0	g	This study	SO-SIGHT:FS-FD
mc09h	mc09	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	337.0	0	-56.0	g	This study	SO-SIGHT:FS-FD
mc100a	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		359.9	0	-65.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100b	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		351.6	0	-62.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100c	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		358.5	0	-42.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100d	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		344.5	0	-47.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100e	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		350.7	0	-47.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100f	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		333.9	0	-48.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100g	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		205.1	0	-28.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100h	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		194.9	0	-31.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100i	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		231.3	0	-21.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc100j	mc100	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt		200.8	0	-22.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101a	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		150.0	0	-64.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101b	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		129.4	0	-49.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101c	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		129.0	0	-50.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101d	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		141.8	0	-68.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101e	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		147.5	0	-72.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101f	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		139.2	0	-73.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101g	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		136.7	0	-45.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101h	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		131.9	0	-65.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101i	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		137.2	0	-62.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc101j	mc101	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt		156.3	0	-79.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102a	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		241.4	0	-79.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
