tab	samples
sample	site	lat	lon	geologic_classes	geologic_types	lithologies	description	azimuth	azimuth_dec_correction	dip	orientation_quality	citations	method_codes
mc122i	mc122	-78.187	163.58	Extrusive:Igneous	Lava Flow	Basalt		141.3	0	-5.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc122k	mc122	-78.187	163.58	Extrusive:Igneous	Lava Flow	Basalt		170.5	0	-22.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc122l	mc122	-78.187	163.58	Extrusive:Igneous	Lava Flow	Basalt		16.2	0	-17.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123a	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		35.8	0	-38.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123b	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		18.3	0	-30.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123c	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		44.5	0	-39.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123d	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		5.0	0	-35.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123e	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		144.5	0	-29.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123f	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		164.0	0	-39.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123g	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		82.1	0	-35.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123h	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		103.4	0	-29.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123i	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		100.1	0	-37.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123j	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		79.3	0	-29.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123k	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		124.8	0	-46.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc123l	mc123	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt		110.5	0	-46.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124a	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		138.1	0	-16.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124b	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		144.1	0	-14.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124c	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		108.4	0	-13.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124d	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		131.1	0	-9.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124e	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		155.6	0	-27.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124f	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		145.4	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124g	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		83.9	0	-23.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124h	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		51.3	0	-4.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124i	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		104.5	0	-33.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124j	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		121.3	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124k	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		152.0	0	-42.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc124l	mc124	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt		156.3	0	-47.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125a	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		185.5	0	-38.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125b	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		160.2	0	-52.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125c	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		167.4	0	-36.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125d	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		154.6	0	-41.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125e	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		154.4	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125f	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		128.6	0	-31.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125g	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		110.6	0	-49.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125h	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		103.8	0	-68.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125i	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		316.1	0	-40.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125j	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		335.8	0	-45.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125k	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		135.1	0	-56.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125l	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		132.8	0	-74.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125m	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		139.3	0	-42.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125n	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		347.1	0	-39.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc125o	mc125	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt		317.8	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126a	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		163.1	0	-20.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126b	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		163.3	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126c	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		125.8	0	-2.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126d	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		52.1	0	-16.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126e	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		132.3	0	-10.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126f	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		156.4	0	-12.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126g	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		112.6	0	-22.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126h	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		137.5	0	-21.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126i	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		202.0	0	-13.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc126j	mc126	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt		191.1	0	-11.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127a	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		175.0	0	-33.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127b	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		173.8	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127c	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		143.8	0	-29.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127d	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		125.5	0	-36.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127e	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		97.5	0	-52.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127f	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		339.5	0	-54.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127g	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		327.2	0	-52.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127h	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		127.7	0	-53.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127i	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		290.2	0	-49.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc127j	mc127	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt		104.9	0	-49.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128a	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		117.7	0	-64.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128b	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		119.7	0	-61.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128c	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		115.9	0	-74.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128d	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		124.4	0	-83.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128e	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		94.7	0	-92.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128f	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		98.7	0	-94.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128g	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		63.4	0	-70.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128h	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		124.9	0	-84.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128i	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		119.7	0	-84.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128j	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		102.1	0	-82.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc128k	mc128	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt		112.7	0	-81.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129a	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		281.2	0	-41.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129b	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		289.9	0	-39.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129c	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		272.4	0	-39.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129d	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		232.0	0	-32.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129e	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		216.7	0	-31.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129f	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		267.1	0	-50.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129h	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		208.1	0	-63.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129i	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		194.4	0	-67.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129j	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		60.6	0	-37.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129l	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		54.1	0	-46.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc129m	mc129	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt		76.9	0	-48.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc12b	mc12	-77.58	166.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	142.0	0	-72.0	g	This study	SO-SIGHT:FS-FD
mc130a	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt		299.2	0	-25.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130b	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt		308.9	0	-28.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130c	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt		326.4	0	-20.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130d	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt		313.6	0	-25.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130e	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt		68.1	0	-26.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130f	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt		199.6	0	-20.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130g	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt		225.9	0	-7.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130h	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt	## direction deleted because: bad mark in field##.	301.9	0	-25.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130i	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt	## direction deleted because: bad mark in field##.	202.5	0	-26.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc130j	mc130	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt	## direction deleted because: overprint during thellier##.	241.7	0	-41.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131a	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		37.2	0	-33.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131b	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		48.2	0	-29.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131c	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		25.7	0	-24.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131d	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		62.7	0	-22.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131e	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		319.2	0	-33.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131f	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		301.0	0	-30.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131g	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		41.2	0	-47.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131h	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		22.7	0	-47.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131i	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		45.2	0	-47.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131j	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		89.7	0	-51.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131k	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		35.9	0	-44.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131l	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		26.9	0	-51.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc131m	mc131	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt		49.1	0	-56.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132a	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		55.9	0	-19.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132b	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		48.4	0	-19.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132c	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		182.2	0	-18.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132d	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		211.4	0	-19.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132e	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		124.8	0	-20.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132f	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		169.5	0	-16.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132g	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		50.4	0	-10.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132h	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt	## direction deleted because: bad mark in field##.	51.1	0	-9.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132i	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		275.2	0	-36.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132j	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		285.4	0	-36.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132k	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		280.5	0	-25.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc132l	mc132	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt		319.2	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133a	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		308.7	0	-53.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133b	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		299.9	0	-58.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133c	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		43.5	0	-61.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133d	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		34.0	0	-58.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133e	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		65.0	0	-16.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133f	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		20.3	0	-12.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133g	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	## direction deleted because: bad mark in field##.	39.5	0	-68.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133h	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		15.9	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133i	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		36.6	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133j	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		20.5	0	-60.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133l	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	## direction deleted because: bad mark in field##.	86.4	0	-62.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc133m	mc133	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte		62.6	0	-60.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134a	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		98.2	0	-31.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134b	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		140.3	0	-37.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134c	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		59.0	0	-49.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134d	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		64.6	0	-49.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134e	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		113.8	0	-23.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134f	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		163.4	0	-20.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134g	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		128.1	0	-17.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134h	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		131.5	0	-22.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134i	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		67.9	0	-32.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134j	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		80.1	0	-36.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc134k	mc134	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt		1.7	0	-49.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135a	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		23.7	0	-66.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135b	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		11.6	0	-63.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135c	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		211.5	0	-13.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135d	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		230.2	0	-11.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135e	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		161.4	0	-10.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135f	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		301.9	0	-16.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135g	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		30.3	0	-38.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135h	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		11.5	0	-39.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135i	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		43.2	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc135j	mc135	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt		22.0	0	-35.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc136a	mc136	-78.282	163.329	Extrusive:Igneous	Lava Flow	Basalt		75.2	0	-38.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
