tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				116.36		g	-46.92	1.16E-05	16		u	273			0	0	0	5.48E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				139.36		g	73.32	3.63E-05	17		u	273			5.03E-05	0	90	5.48E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				117.19		g	-45.67	9.07E-06	18		u	273			0	0	0	5.73E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				141.27		g	74.37	3.16E-05	19		u	273			5.03E-05	0	90	5.23E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				144.55		g	77.35	4.24E-05	20		u	273			5.03E-05	0	90	5.73E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				118.58		g	-37.38	6.81E-06	21		u	273			0	0	0	5.98E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				152.85		g	79.54	4.66E-05	22		u	273			5.03E-05	0	90	5.98E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				118.66		g	-37.83	5.00E-06	23		u	273			0	0	0	6.23E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				158.63		g	81.24	5.05E-05	24		u	273			5.03E-05	0	90	6.23E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				126.15		g	32.5	4.84E-06	25		u	273			5.03E-05	0	90	6.23E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				116.93		g	-40.44	2.58E-06	26		u	273			0	0	0	6.73E+02
Muxworthy	10.1029/2010JB007844	Vesuvius	vm1a	VM	vm1a	vm1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				166.97		g	82.6	5.10E-05	27		u	273			5.03E-05	0	90	6.23E+02
