tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				128.38		g	-2.7	2.41E-11	0		u	273			0	0	0	273
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				127.92		g	-1.82	2.25E-11	1		u	273			0	0	0	3.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				123.29		g	-1.06	2.14E-11	2		u	273			4.50E-05	0	90	3.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				127.85		g	-1.13	2.07E-11	3		u	273			0	0	0	4.08E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				117.68		g	-0.22	1.83E-11	4		u	273			4.50E-05	0	90	4.08E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				127.20		g	0.06	1.47E-11	5		u	273			0	0	0	4.43E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				120.08		g	1.04	1.35E-11	6		u	273			4.50E-05	0	90	3.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				88.32		g	4.32	1.15E-11	7		u	273			4.50E-05	0	90	4.43E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				128.06		g	1.09	1.07E-11	8		u	273			0	0	0	4.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				57.06		g	8.42	1.05E-11	9		u	273			4.50E-05	0	90	4.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				127.98		g	1.92	1.05E-11	10		u	273			4.50E-05	0	90	4.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				129.53		g	2.68	8.85E-12	11		u	273			0	0	0	5.08E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				62.50		g	9.73	8.03E-12	12		u	273			4.50E-05	0	90	4.43E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				43.67		g	9.23	1.15E-11	13		u	273			4.50E-05	0	90	5.08E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				129.87		g	4.38	8.03E-12	14		u	273			0	0	0	5.43E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				36.98		g	9.44	1.22E-11	15		u	273			4.50E-05	0	90	5.43E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				129.48		g	3.99	7.30E-12	16		u	273			0	0	0	5.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				30.60		g	9.75	1.10E-11	17		u	273			4.50E-05	0	90	5.08E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				35.67		g	8.62	1.31E-11	18		u	273			4.50E-05	0	90	5.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-PTRM-MD:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				126.30		g	4.53	7.29E-12	19		u	273			4.50E-05	0	90	5.73E+02
	10.1016/j.pepi.2008.03.006	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT:LP-PI-BT-MD				130.14		g	4.55	6.66E-12	20		u	273			0	0	0	6.08E+02
