tab 	rmag_anisotropy
anisotropy_mean	anisotropy_n	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_type	anisotropy_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes
0.000333266667	15	0.35870659	0.33311459	0.30817878	-0.00515056	0.00130616	0.00679767	0.00088837	AMS	SI	This study	Scripps Beach	as2e	as2	as2e2	as2e2 : AMS	LP-X:AE-H
0.0004084	15	0.34933397	0.34440169	0.30626434	-0.00102886	0.00152818	0.01711998	0.00118902	AMS	SI	This study	Scripps Beach	as2f	as2	as2f1	as2f1 : AMS	LP-X:AE-H
0.0003126	15	0.34469131	0.34519607	0.31011263	-0.00265236	0.00143709	0.01595598	0.0013812	AMS	SI	This study	Scripps Beach	as2f	as2	as2f2	as2f2 : AMS	LP-X:AE-H
0.000202133333	15	0.33969876	0.33965841	0.32064283	-0.00180637	0.00534557	0.0010394	0.00402628	AMS	SI	This study	Scripps Beach	as3b	as3	as3b1	as3b1 : AMS	LP-X:AE-H
0.000209333333	15	0.33569983	0.34147659	0.32282361	0.00083109	0.00515435	0.00038798	0.00226752	AMS	SI	This study	Scripps Beach	as3b	as3	as3b2	as3b2 : AMS	LP-X:AE-H
0.000125533333	15	0.33669358	0.33759224	0.32571417	0.00218041	0.00134302	0.00211947	0.00521015	AMS	SI	This study	Scripps Beach	as3b	as3	as3b3	as3b3 : AMS	LP-X:AE-H
0.000195733333	15	0.33873025	0.33836567	0.32290411	0.00109104	0.00154824	-0.0004876	0.00220588	AMS	SI	This study	Scripps Beach	as3c	as3	as3c1	as3c1 : AMS	LP-X:AE-H
0.000197333333	15	0.33731282	0.33902717	0.32366002	0.00103064	0.00016768	-0.00079806	0.00190944	AMS	SI	This study	Scripps Beach	as3c	as3	as3c2	as3c2 : AMS	LP-X:AE-H
0.000141533333	15	0.33759287	0.33830321	0.32410395	-0.00040597	0.00105278	6.708e-05	0.00127797	AMS	SI	This study	Scripps Beach	as3c	as3	as3c3	as3c3 : AMS	LP-X:AE-H
0.000185466667	15	0.34114856	0.33937207	0.31947935	-0.00110861	0.00025925	-0.00134654	0.00154491	AMS	SI	This study	Scripps Beach	as3d	as3	as3d1	as3d1 : AMS	LP-X:AE-H
0.000188933333	15	0.34107029	0.32664222	0.33228749	-0.0004464	0.01045345	-0.0004164	0.0022083	AMS	SI	This study	Scripps Beach	as3d	as3	as3d2	as3d2 : AMS	LP-X:AE-H
0.000185866667	15	0.33966753	0.32765597	0.3326765	4.264e-05	0.01038845	0.00122087	0.00125396	AMS	SI	This study	Scripps Beach	as3d	as3	as3d3	as3d3 : AMS	LP-X:AE-H
0.000201733333	15	0.33978784	0.3407141	0.31949803	-0.00118344	0.00056415	0.00349775	0.00219278	AMS	SI	This study	Scripps Beach	as3e	as3	as3e1	as3e1 : AMS	LP-X:AE-H
0.0001954	15	0.33842105	0.33376026	0.32781869	-0.00187255	0.0022676	0.00420439	0.00217275	AMS	SI	This study	Scripps Beach	as3e	as3	as3e2	as3e2 : AMS	LP-X:AE-H
0.0001892	15	0.33827138	0.33604705	0.32568157	0.00149973	-0.00086203	0.00228208	0.00273253	AMS	SI	This study	Scripps Beach	as3e	as3	as3e3	as3e3 : AMS	LP-X:AE-H
0.0001718	15	0.33537519	0.33225599	0.33236882	-0.00123474	0.00144038	0.00432219	0.00299186	AMS	SI	This study	Scripps Beach	as3f	as3	as3f1	as3f1 : AMS	LP-X:AE-H
0.0001292	15	0.33931324	0.33790049	0.32278624	0.00023604	0.00046812	0.00049717	0.00204418	AMS	SI	This study	Scripps Beach	as3f	as3	as3f2	as3f2 : AMS	LP-X:AE-H
